1.85,1.8,1.9,0.1056,0.0001,-0.0001,0.0078,-0.0078,'5.1%','-5.1%','3.6%','-3.6%'
1.95,1.9,2.0,0.08328,8.3e-05,-8.3e-05,0.0061,-0.0061,'5.1%','-5.1%','3.6%','-3.6%'
2.1,2.0,2.2,0.05949,5.3e-05,-5.3e-05,0.0044,-0.0044,'5.1%','-5.1%','3.6%','-3.6%'
2.3,2.2,2.4,0.03831,3.6e-05,-3.6e-05,0.0028,-0.0028,'5.1%','-5.1%','3.6%','-3.6%'
2.5,2.4,2.6,0.02506,3.1e-05,-3.1e-05,0.0018,-0.0018,'5.1%','-5.1%','3.6%','-3.6%'
2.7,2.6,2.8,0.01681,2.2e-05,-2.2e-05,0.0012,-0.0012,'5.1%','-5.1%','3.6%','-3.6%'
2.9,2.8,3.0,0.01154,2.4e-05,-2.4e-05,0.00085,-0.00085,'5.1%','-5.1%','3.6%','-3.6%'
3.1,3.0,3.2,0.008043,1.3e-05,-1.3e-05,0.00059,-0.00059,'5.1%','-5.1%','3.6%','-3.6%'
3.3,3.2,3.4,0.005696,9.5e-06,-9.5e-06,0.00042,-0.00042,'5.1%','-5.1%','3.6%','-3.6%'
3.5,3.4,3.6,0.004064,7.3e-06,-7.3e-06,0.0003,-0.0003,'5.1%','-5.1%','3.6%','-3.6%'
3.7,3.6,3.8,0.002958,5.7e-06,-5.7e-06,0.00022,-0.00022,'5.1%','-5.1%','3.6%','-3.6%'
3.9,3.8,4.0,0.002181,4.6e-06,-4.6e-06,0.00016,-0.00016,'5.1%','-5.1%','3.6%','-3.6%'
4.25,4.0,4.5,0.001331,3.1e-06,-3.1e-06,9.8e-05,-9.8e-05,'5.1%','-5.1%','3.6%','-3.6%'
4.75,4.5,5.0,0.000685,1.7e-06,-1.7e-06,5.1e-05,-5.1e-05,'5.1%','-5.1%','3.6%','-3.6%'
5.25,5.0,5.5,0.0003714,8.3e-07,-8.3e-07,3e-05,-3e-05,'5.1%','-5.1%','3.6%','-3.6%'
5.75,5.5,6.0,0.0002154,6e-07,-6e-07,1.7e-05,-1.7e-05,'5.1%','-5.1%','3.6%','-3.6%'
6.25,6.0,6.5,0.0001286,4.4e-07,-4.4e-07,1e-05,-1e-05,'5.1%','-5.1%','3.6%','-3.6%'
6.75,6.5,7.0,8.045e-05,3.3e-07,-3.3e-07,6.2e-06,-6.2e-06,'5.1%','-5.1%','3.6%','-3.6%'
7.5,7.0,8.0,4.293e-05,1.6e-07,-1.6e-07,3.3e-06,-3.3e-06,'5.1%','-5.1%','3.6%','-3.6%'
8.5,8.0,9.0,1.983e-05,1e-07,-1e-07,1.5e-06,-1.5e-06,'5.1%','-5.1%','3.6%','-3.6%'
9.5,9.0,10.0,9.907e-06,6.7e-08,-6.7e-08,7.6e-07,-7.6e-07,'5.1%','-5.1%','3.6%','-3.6%'
10.5,10.0,11.0,5.345e-06,4.7e-08,-4.7e-08,4.1e-07,-4.1e-07,'5.1%','-5.1%','3.6%','-3.6%'
11.5,11.0,12.0,3.098e-06,3.4e-08,-3.4e-08,2.4e-07,-2.4e-07,'5.1%','-5.1%','3.6%','-3.6%'
12.5,12.0,13.0,1.814e-06,2.5e-08,-2.5e-08,1.4e-07,-1.4e-07,'5.1%','-5.1%','3.6%','-3.6%'
13.5,13.0,14.0,1.145e-06,1.9e-08,-1.9e-08,8.6e-08,-8.6e-08,'5.1%','-5.1%','3.6%','-3.6%'
14.5,14.0,15.0,7.254e-07,1.4e-08,-1.4e-08,5.4e-08,-5.4e-08,'5.1%','-5.1%','3.6%','-3.6%'
15.5,15.0,16.0,4.868e-07,1.1e-08,-1.1e-08,3.7e-08,-3.7e-08,'5.1%','-5.1%','3.6%','-3.6%'
17.0,16.0,18.0,2.811e-07,5.8e-09,-5.8e-09,2.1e-08,-2.1e-08,'5.1%','-5.1%','3.6%','-3.6%'
19.0,18.0,20.0,1.356e-07,3.8e-09,-3.8e-09,1e-08,-1e-08,'5.1%','-5.1%','3.6%','-3.6%'
21.0,20.0,22.0,7.35e-08,2.6e-09,-2.6e-09,5.7e-09,-5.7e-09,'5.1%','-5.1%','3.6%','-3.6%'
23.0,22.0,24.0,4.127e-08,1.9e-09,-1.9e-09,3.2e-09,-3.2e-09,'5.1%','-5.1%','3.6%','-3.6%'
26.0,24.0,28.0,2.012e-08,8.5e-10,-8.5e-10,1.6e-09,-1.6e-09,'5.1%','-5.1%','3.6%','-3.6%'
30.0,28.0,32.0,8.019e-09,5e-10,-5e-10,6.3e-10,-6.3e-10,'5.1%','-5.1%','3.6%','-3.6%'
36.0,32.0,40.0,2.573e-09,1.8e-10,-1.8e-10,2.1e-10,-2.1e-10,'5.1%','-5.1%','3.6%','-3.6%'
45.0,40.0,50.0,7.73e-10,7.6e-11,-7.6e-11,6.4e-11,-6.4e-11,'5.1%','-5.1%','3.6%','-3.6%'

